,취업인원수,성별,연령,가중값,학력,수학구분,총소비지출액,의류신발,음식,생활필수,여가,IT 및 교육,건강 및 미용
373,1,2,28,4972.097,7,2,3124535,0.07065627365351965,0.18241370315903008,0.13846252322345565,0.10992707714907979,0.3391170206126672,0.15942372224987078
374,1,1,28,1721.788,6,1,7073112,0.049256960726763555,0.18040432556419297,0.6534392499369444,0.019769798640259056,0.03887963317985068,0.05825017333247374
391,0,1,27,789.015,6,1,804324,0.0037298402136452477,0.34712379588325104,0.6215455463221289,0.002983872170916198,0.0,0.024616945410058634
408,0,2,27,3193.4775,6,1,1290118,0.04667480028958591,0.24644334859291941,0.6105891089032166,0.06713106863093143,0.007421801726663763,0.02174219722537008
409,1,2,27,2335.557,6,1,1737774,0.1340237568291389,0.19374498640214435,0.4510206735743543,0.021013664607710782,0.0,0.20019634313783036
422,1,2,29,1431.155,5,1,1224254,0.05747173380687341,0.2448388978104217,0.4777350125055748,0.006943003657737692,0.0,0.21301135221939238
433,1,2,23,4090.6281,5,1,1453128,0.16132233361410694,0.17510157398384726,0.34036437258108027,0.09771197031507203,0.0,0.22550043767651576
454,0,1,29,885.4992,6,2,5655949,0.0,0.06935175688465366,0.8829718938413341,0.04367224669105043,0.0,0.004004102582961763
455,1,2,23,4238.2221,4,1,1507458,0.0025539683360995794,0.33611483703028544,0.48966472034378405,0.07647576250880622,0.0005525858763560909,0.09463812590466865
456,1,2,27,4163.4254,6,1,2132107,0.06498641953710578,0.17053084108818178,0.4204859324602377,0.0338360129205523,0.01360156877680154,0.2965592252171209
457,1,2,28,4163.4254,6,1,2233510,0.1405173919078043,0.35334786949689057,0.37265693907795355,0.05816181705029304,0.0,0.07531643019283549
458,1,2,23,1303.4984,6,1,3552502,0.04108794308912423,0.11851506346794456,0.6957617476358916,0.04379251580998406,0.07445456751326249,0.026388162483793113
460,1,1,28,2872.8044,4,1,1140875,0.009597896351484607,0.380629779774296,0.42715722581352034,0.046325846389832365,0.0,0.13629100471129615
461,1,2,26,3576.2675,5,1,1035007,0.062183154316830705,0.4510481571622221,0.38817322008450184,0.05880056849857054,0.0,0.039794899937874814
462,1,2,27,3576.2675,6,1,1451246,0.029870883365053204,0.2749843927218404,0.45338626256334214,0.050967237808062865,0.04877188291991847,0.14201934062178292
547,1,1,27,4354.1294,6,1,1560369,0.01167480256272715,0.4641575165874226,0.332172710429392,0.07889223638767497,0.02612010364215131,0.08698327126468162
551,1,2,24,1456.624,6,1,1827938,0.02981501560775037,0.15553043921620974,0.4793269793614444,0.166852486244063,0.0,0.16847507957053248
616,1,1,28,789.015,5,1,1821735,0.007136054365755722,0.13589792148693416,0.8282203503802693,0.002854421746302289,0.0,0.025891252020738473
618,1,2,29,1456.624,7,2,1191294,0.08975114455373737,0.3334273487485037,0.17438600379083585,0.010031109029341203,0.11643641284183417,0.27596798103574766
631,1,2,28,4251.0949,6,1,2100037,0.15767912660586456,0.24983321722426796,0.27398993446305947,0.041652123272113775,0.0,0.27684607461678057
635,1,2,24,4147.7565,6,1,1458400,0.045723395501919915,0.25412026878771254,0.5547408118486012,0.03980869445968184,0.014484366428963247,0.09112246297312122
638,1,1,29,4265.3499,4,1,1148643,0.06239275388436616,0.4722233104628679,0.19439895598545415,0.1561616620655852,0.0,0.11482418819424312
642,1,1,29,4238.2221,6,1,1025219,0.0041532589622314845,0.3278323948346646,0.5358416104266503,0.0914253442435226,0.004877006766359188,0.035870384766571825
661,1,2,29,1430.2003,6,1,2261204,0.07973893554053504,0.25561161222074613,0.4932146767828113,0.09244190263240291,0.0,0.07899331506577911
663,1,2,23,1430.2003,6,2,1632062,0.1230498596254309,0.4036292738878793,0.1906790305760443,0.1205609835900842,0.0,0.16208207776420258
669,1,1,25,2872.8044,8,2,1930815,0.005179160095607295,0.38023269966309564,0.4888018789992827,0.09068709327408374,0.0,0.03509916796793064
682,1,2,28,1431.155,7,2,2246101,0.025666699761052597,0.17112097808602553,0.27783345450627556,0.012093846180559111,0.3415362888846049,0.17174873258148232
683,1,2,28,684.3822,6,1,1313024,0.04211651881458374,0.2205237680347046,0.5308433052251901,0.027798425619029052,0.0,0.1787179823064925
684,0,2,22,684.3822,4,1,2140888,0.07053007910736106,0.2191894204647791,0.43944895762879704,0.07969590188744109,0.00934191793311934,0.18179372297850238
706,1,1,29,4089.2922,5,1,664101,0.023264533557395637,0.5435423226286363,0.2497240630566736,0.0852912433500326,0.0,0.09817934320231411
713,1,1,24,4147.7565,5,1,1386217,0.04641986067116476,0.2213563965814876,0.4481693703078234,0.24357153317265623,0.0,0.04048211787909108
716,1,1,29,789.015,6,1,1303587,0.12563028014240707,0.3484769332618383,0.3830277534219043,0.05776369356245498,0.0,0.08510133961139532
732,1,1,27,2872.8044,6,1,1466369,0.015275827571368462,0.2719506481656391,0.48459289578544007,0.21101305333105105,0.0,0.01716825710308933
734,1,2,27,2872.8044,6,1,1140807,0.0674461148993651,0.33912660073088613,0.4755466963298788,0.026165687973513485,0.0,0.09171840635620224
736,1,1,28,2141.1468,6,1,1075874,0.007094696962655478,0.24388636587555793,0.40484108733922375,0.10805447478050403,0.18279742795160028,0.053324088136714895
751,1,2,20,3943.7508,4,1,823465,0.14201575051762977,0.39540478344556235,0.2796050833975943,0.041475958298166894,0.0008512808680393217,0.14064714347300736
781,1,1,28,3449.2072,5,1,1987297,0.03488054377377916,0.3431404566101594,0.47303951045062714,0.06621758096550238,0.0,0.08272190819993187
782,1,1,24,4238.2221,6,5,1599912,0.007396031781747996,0.3090638735130432,0.535555705563806,0.05276040182210021,0.08333770857397158,0.011886278745330993
783,1,1,26,4238.2221,6,1,2228503,0.006828350691024423,0.40438940400798207,0.37605020051577226,0.03718953934547093,0.12788854221870016,0.047653963221050186
785,1,2,27,4163.4254,6,1,1501279,0.08415890717181816,0.19928540930766367,0.4952883507995516,0.004427558102124921,0.049624353634467676,0.167215420984374
786,1,1,25,4163.4254,6,1,1563069,0.05298358549750523,0.31108607489496626,0.5174531642557046,0.09034853867615569,0.0036255597161737583,0.02450307695949443
787,1,1,22,4163.4254,6,2,1935012,0.016916174163261005,0.21062246642398083,0.4361833414986574,0.029114031334172605,0.26286968762984414,0.04429429895008403
795,0,1,25,1721.788,6,2,2668110,0.0044844477926322375,0.12481869188301832,0.6508221175288875,0.13666977748293735,0.07177365251057866,0.011431312801945946
839,1,1,25,4077.6427,4,1,934194,0.013421195169311728,0.2693391308443428,0.6574394611825809,0.0219900791484424,0.0,0.037810133655322126
840,1,2,28,4077.6427,6,1,1943843,0.24123913299582322,0.22936008720868917,0.33360564613500165,0.08791502194364463,0.017147989832512193,0.09073160743948971
841,1,2,29,3357.6346,6,1,1580977,0.023656258123932225,0.347240978205249,0.5019952851939022,0.007349253025186324,0.0,0.11975822545173016
865,1,2,25,4277.9977,6,1,1552375,0.12842257830743217,0.22684080843868265,0.3439503985828167,0.07337080280215798,0.0163858603752315,0.21102955149367905
868,1,2,28,3576.2675,6,1,1575564,0.07545742350041001,0.43520605954439173,0.20034349604332163,0.14373138761738655,0.0,0.14526099860113584
879,1,1,26,4150.209,6,1,1361453,0.006243329736685732,0.1905052910383245,0.3754437354796677,0.11085289025768792,0.0,0.31695548799701495
885,1,1,26,2141.1468,4,1,1293227,0.0,0.383978992087236,0.4872949605908321,0.02362539600549633,0.0,0.10510065131643555
987,1,1,29,4370.7811,6,1,1352136,0.022761763609577736,0.4456090215777111,0.3153469769313146,0.06642601040132058,0.007013347769750972,0.142842879710325
998,1,1,20,3449.2072,6,2,1179014,0.028498389332102927,0.15408638065366484,0.7683674663744451,0.03569083997306224,0.0037319319363468117,0.009624991730378096
999,1,2,26,4238.2221,6,1,1375188,0.03963094500533745,0.23104840938111734,0.6959426638394168,0.004448119093534848,0.0,0.02893058985389634
1000,1,2,21,3449.2072,6,2,1138428,0.017901878731022076,0.1619865287923347,0.7897293460807359,0.016601840432596528,0.0,0.01378040596331081
1001,0,1,21,3449.2072,6,2,1223512,0.009644368016006382,0.1698536671483402,0.7370405848083222,0.03457260737941271,0.04086596616951857,0.008022806478399884
1004,1,1,27,3111.5879,5,1,2862930,0.021347011627947592,0.06483742180213976,0.3082394609718016,0.03032627413174615,0.4685524969174936,0.10669768384137929
1008,1,2,29,2251.035,5,1,1329120,0.03104836282653184,0.1793088660166125,0.5405689478752859,0.10508005296737691,0.0,0.1439945226917058
1020,1,2,26,3554.5334,4,1,1003932,0.020917751401489344,0.40588107561069875,0.3530717219891387,0.06653837112473754,0.0,0.15359207595733576
1023,0,1,23,3627.0384,6,2,858160,0.06390416705509462,0.2707700195767689,0.3919269133961033,0.11128460893073552,0.03376992635405985,0.1283443646872378
1081,1,2,24,2872.8044,6,1,688641,0.009075846486050062,0.2169606514860428,0.13964460437296067,0.039826266516225436,0.4715809834151612,0.12291309985899765
1086,1,2,27,2914.1572,6,1,2951552,0.014151876707576217,0.1354023239299189,0.2804873503837981,0.036983254911314455,0.0006294993278112668,0.5323460335443861
1098,1,2,20,4354.1294,6,2,1131944,0.08539910101559794,0.22087930144954168,0.4953822803954966,0.07900214144869358,0.07214756207020842,0.04719049705639148
1101,0,2,27,3639.9112,7,2,1743897,0.032915934828719816,0.2287726855427815,0.49145907126395655,0.07440003624067247,0.0,0.1724528455522316
1131,1,1,24,789.015,6,2,3811890,0.009444134012261634,0.06477101910076104,0.13877367919850783,0.7870111676884695,0.0,0.0
1132,0,2,21,789.015,6,2,593610,0.17519920486514715,0.3515944812250468,0.12112329644042384,0.27324337528006604,0.055423594615993665,0.02341604757332255
1133,1,1,28,789.015,8,2,2470750,0.05929373671961955,0.167714256804614,0.40135586360416875,0.007204290195284833,0.0,0.36443185267631284
1134,1,1,22,789.015,6,2,1068840,0.335878148272894,0.12217918491074437,0.09837768047603009,0.3166984768534112,0.037423749111185955,0.08944276037573444
1142,1,1,23,4150.209,6,2,1287979,0.13980585087179218,0.2761690990303413,0.39079053307546163,0.0792536213711559,0.0,0.11398167206142336
1144,1,2,25,4162.0657,6,4,1347963,0.052536308489179596,0.22474133192083165,0.49009653825809757,0.027869459324922123,0.03709300626204132,0.16766409760505296
1271,1,1,25,727.5615,4,1,3647380,0.07046153677434214,0.17272398269442724,0.650699954487879,0.09405107227653822,0.0,0.01206345376681344
1307,1,2,26,2780.59,6,1,2159947,0.11512365812679663,0.3361536185841597,0.31042937627636236,0.10393912443221986,0.01051738769516104,0.12383729785962341
1379,0,1,22,532.7758,5,2,529885,0.0,0.6193891127320079,0.17301867386319672,0.2019306075846646,0.0,0.005661605820130783
1390,0,2,28,2904.5912,6,1,1512862,0.0861017065667589,0.3037745676737204,0.3842128363327257,0.10908265261471305,0.03543812984925261,0.08139142896047359
1399,1,2,22,1993.8996,5,1,1193330,0.0791734055123059,0.24016240268827566,0.572444336436694,0.04183670904108671,0.0,0.06638398431280534
