,취업인원수,성별,연령,가중값,학력,수학구분,총소비지출액,의류신발,음식,생활필수,여가,IT 및 교육,건강 및 미용
13,1,2,23,4251.0949,6,5,1866385,0.0640044792473149,0.2466800794048387,0.4208268926293342,0.0903645282189901,0.0,0.1781245562946551
14,1,2,27,4147.7565,8,2,1260050,0.0291004325225189,0.3626427522717352,0.4643791913019324,0.0379294472441569,0.0,0.1059481766596563
15,1,1,26,4221.5704,6,1,1676439,0.0143637794157735,0.4793416282966454,0.4152223850673958,0.0505738651987933,0.0012926208469261,0.039206317676933
16,1,1,25,4221.5704,7,1,1007868,0.0494112324232935,0.3239690118150393,0.5782036933407946,0.0272853191092484,0.0,0.0211307433116241
17,1,2,29,2113.889,7,1,1878007,0.0318332146791785,0.2009385481523764,0.4933016756593559,0.2333819841992069,0.0,0.040545642268639
18,1,1,25,714.2183,6,1,1305560,0.0,0.4552452587395447,0.5083718863935782,0.0103403903305861,0.0,0.0260424645362909
19,1,1,28,1721.788,6,1,7073112,0.0492569607267635,0.1804043255641929,0.6534392499369444,0.019769798640259,0.0388796331798506,0.0582501733324737
20,0,1,27,789.015,6,1,804324,0.0037298402136452,0.347123795883251,0.6215455463221289,0.0029838721709161,0.0,0.0246169454100586
21,0,2,27,3193.4775,6,1,1290118,0.0466748002895859,0.2464433485929194,0.6105891089032166,0.0671310686309314,0.0074218017266637,0.02174219722537
22,1,2,27,2335.557,6,1,1737774,0.1340237568291389,0.1937449864021443,0.4510206735743543,0.0210136646077107,0.0,0.2001963431378303
23,1,2,29,1431.155,5,1,1224254,0.0574717338068734,0.2448388978104217,0.4777350125055748,0.0069430036577376,0.0,0.2130113522193923
24,1,2,23,4090.6281,5,1,1453128,0.1613223336141069,0.1751015739838472,0.3403643725810802,0.097711970315072,0.0,0.2255004376765157
25,1,2,23,4238.2221,4,1,1507458,0.0025539683360995,0.3361148370302854,0.489664720343784,0.0764757625088062,0.000552585876356,0.0946381259046686
26,1,2,28,4163.4254,6,1,2233510,0.1405173919078043,0.3533478694968905,0.3726569390779535,0.058161817050293,0.0,0.0753164301928354
27,1,2,23,1303.4984,6,1,3552502,0.0410879430891242,0.1185150634679445,0.6957617476358916,0.043792515809984,0.0744545675132624,0.0263881624837931
28,1,1,28,2872.8044,4,1,1140875,0.0095978963514846,0.380629779774296,0.4271572258135203,0.0463258463898323,0.0,0.1362910047112961
29,1,2,26,3576.2675,5,1,1035007,0.0621831543168307,0.4510481571622221,0.3881732200845018,0.0588005684985705,0.0,0.0397948999378748
30,1,2,27,3576.2675,6,1,1451246,0.0298708833650532,0.2749843927218404,0.4533862625633421,0.0509672378080628,0.0487718829199184,0.1420193406217829
31,1,1,27,4354.1294,6,1,1560369,0.0116748025627271,0.4641575165874226,0.332172710429392,0.0788922363876749,0.0261201036421513,0.0869832712646816
32,1,2,24,1456.624,6,1,1827938,0.0298150156077503,0.1555304392162097,0.4793269793614444,0.166852486244063,0.0,0.1684750795705324
33,1,2,28,4251.0949,6,1,2100037,0.1576791266058645,0.2498332172242679,0.2739899344630594,0.0416521232721137,0.0,0.2768460746167805
34,1,2,24,4147.7565,6,1,1458400,0.0457233955019199,0.2541202687877125,0.5547408118486012,0.0398086944596818,0.0144843664289632,0.0911224629731212
35,1,1,29,4265.3499,4,1,1148643,0.0623927538843661,0.4722233104628679,0.1943989559854541,0.1561616620655852,0.0,0.1148241881942431
36,1,1,29,4238.2221,6,1,1025219,0.0041532589622314,0.3278323948346646,0.5358416104266503,0.0914253442435226,0.0048770067663591,0.0358703847665718
37,1,2,29,1430.2003,6,1,2261204,0.079738935540535,0.2556116122207461,0.4932146767828113,0.0924419026324029,0.0,0.0789933150657791
38,1,2,23,1430.2003,6,2,1632062,0.1230498596254309,0.4036292738878793,0.1906790305760443,0.1205609835900842,0.0,0.1620820777642025
39,1,1,25,2872.8044,8,2,1930815,0.0051791600956072,0.3802326996630956,0.4888018789992827,0.0906870932740837,0.0,0.0350991679679306
40,1,2,28,684.3822,6,1,1313024,0.0421165188145837,0.2205237680347046,0.5308433052251901,0.027798425619029,0.0,0.1787179823064925
41,0,2,22,684.3822,4,1,2140888,0.070530079107361,0.2191894204647791,0.439448957628797,0.079695901887441,0.0093419179331193,0.1817937229785023
42,1,1,29,4089.2922,5,1,664101,0.0232645335573956,0.5435423226286363,0.2497240630566736,0.0852912433500326,0.0,0.0981793432023141
43,1,1,24,4147.7565,5,1,1386217,0.0464198606711647,0.2213563965814876,0.4481693703078234,0.2435715331726562,0.0,0.040482117879091
44,1,1,29,789.015,6,1,1303587,0.125630280142407,0.3484769332618383,0.3830277534219043,0.0577636935624549,0.0,0.0851013396113953
45,1,1,27,2872.8044,6,1,1466369,0.0152758275713684,0.2719506481656391,0.48459289578544,0.211013053331051,0.0,0.0171682571030893
46,1,2,27,2872.8044,6,1,1140807,0.0674461148993651,0.3391266007308861,0.4755466963298788,0.0261656879735134,0.0,0.0917184063562022
47,1,2,20,3943.7508,4,1,823465,0.1420157505176297,0.3954047834455623,0.2796050833975943,0.0414759582981668,0.0008512808680393,0.1406471434730073
48,1,1,28,3449.2072,5,1,1987297,0.0348805437737791,0.3431404566101594,0.4730395104506271,0.0662175809655023,0.0,0.0827219081999318
49,1,1,24,4238.2221,6,5,1599912,0.0073960317817479,0.3090638735130432,0.535555705563806,0.0527604018221002,0.0833377085739715,0.0118862787453309
50,1,2,27,4163.4254,6,1,1501279,0.0841589071718181,0.1992854093076636,0.4952883507995516,0.0044275581021249,0.0496243536344676,0.167215420984374
51,1,1,25,4163.4254,6,1,1563069,0.0529835854975052,0.3110860748949662,0.5174531642557046,0.0903485386761556,0.0036255597161737,0.0245030769594944
52,0,1,25,1721.788,6,2,2668110,0.0044844477926322,0.1248186918830183,0.6508221175288875,0.1366697774829373,0.0717736525105786,0.0114313128019459
53,1,1,25,4077.6427,4,1,934194,0.0134211951693117,0.2693391308443428,0.6574394611825809,0.0219900791484424,0.0,0.0378101336553221
54,1,2,29,3357.6346,6,1,1580977,0.0236562581239322,0.347240978205249,0.5019952851939022,0.0073492530251863,0.0,0.1197582254517301
