가계지출_소비지출금액,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_기타상품서비스이용금액
76.40828245,3.918927529,1.13220069,3.88585081,18.07167507,0.175205734,4.613750995,8.431430847,2.771436156,0.634191664,1.5927794,29.71786568,1.463020972
96.18027206,7.692932071,0.687551029,21.32076643,8.451148067,1.797659462,4.502504309,5.851345738,1.691662011,8.785374262,0,18.58297643,16.81635226
100,20.01719321,0,0,37.05136471,0.401174869,1.146213912,0.487140913,8.853069704,9.298660362,0,10.84604914,11.89913318
78.37506794,2.324940479,0,11.90973791,12.26183459,4.279360316,0.153107704,30.31277352,2.211793886,4.838866901,0,8.811858702,1.27079394
85.68781074,4.888128895,0.073522501,5.997957645,33.96378544,4.352325787,1.782591155,4.385276245,4.307513163,1.633196641,0,18.70250836,5.601004903
70.72197264,8.410996064,0,5.711148382,7.947947322,6.266999375,0.705842531,7.566391308,2.239445849,3.676236448,0,21.43812207,6.758682866
97.26961408,9.825474794,0.153785177,3.5999712,36.51559137,0.957662242,1.780343039,5.017031708,0.006990235,26.34850378,0,8.620218417,4.44411202
85.24871578,5.192573347,1.521790328,10.527497,16.18035851,0.530212959,7.77301694,5.013377194,1.043617376,4.028352307,1.701429644,27.35341748,4.383135999
98.93297469,2.234237374,2.851329743,1.070836759,6.796364963,0.054449327,6.784749107,15.54455679,0,33.19956949,0,28.96304887,1.433832271
91.80439044,0.700337981,0.140122748,1.86345298,0.79239574,0.141770873,0.198756262,82.42325907,0.524411787,0.407048565,0,3.281289971,1.331550878
87.15923428,1.467482719,2.994100081,1.4726208,22.94643737,0.152414174,0.082536269,14.05886466,4.934893504,15.5549338,0,20.47758932,3.017361577
50.61711833,3.771522811,0.1927531,8.00052583,8.534606121,0.518120333,2.566199125,3.837829878,1.168353642,3.844846091,0,8.9840678,9.198255045
60.31577624,7.119496666,0,0.322319324,9.554619158,3.378980912,5.533148394,3.701300236,4.052896899,0.90115111,0,21.31336529,4.43849825
84.71252427,9.977500608,3.128721453,9.033476008,4.993024595,9.005099466,0.243397111,9.479130182,6.121081158,4.573491086,1.46928744,20.31950323,6.36887129
85.76368029,14.21319182,0,3.956797095,8.725273116,0.165199239,19.1058426,5.391001818,2.888123221,2.59263685,0,23.71936174,5.006252791
91.94235889,6.216924376,6.070557151,6.248423105,33.94653992,7.01473545,1.555347654,9.013572661,3.880298564,5.71584386,0,8.458427164,3.821767345
48.01771341,4.930432961,0,4.587415098,3.314083959,0.598426139,0.239370456,8.261272852,3.338858801,3.92926603,0,17.65955537,1.159031747
73.39267895,2.980819631,0.022787964,3.093989878,13.47140645,0.014237133,0,6.728092985,5.017627538,27.20091973,0,13.60864728,1.254107605
70.7305076,5.657244971,7.760850633,7.335862209,12.4597952,0.402458318,0.773135758,13.62061788,2.753497264,2.853962638,0,15.22731783,1.885814637
70.37762986,13.97981399,0,7.57692718,6.497106412,6.425640344,7.484126388,4.230370872,3.544979745,4.315657217,0,3.888016874,12.43499084
